,remote_ip,http_referer,hostname,timestamp,bytes_sent,request_time,request_status,city,country,lat,long,http_operation,http_url,protocol,browser,os,device,aux_kodi_type,aux_kodi_item
2021-05-02 20:11:24+01:00,40.77.167.19,-,www.vivc.org,2021-05-02 20:11:24+01:00,5124,0.029,200,Boydton,United States,36.6534,-78.375,GET,/,HTTP/1.1,bingbot,Other,Spider,,
2021-05-02 20:16:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 20:16:33+01:00,0,0.028,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 20:31:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 20:31:33+01:00,0,0.036,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 20:46:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 20:46:33+01:00,0,0.028,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 21:01:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 21:01:33+01:00,0,0.028,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 21:16:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 21:16:33+01:00,0,0.029,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 21:31:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 21:31:33+01:00,0,0.025,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 21:46:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 21:46:33+01:00,0,0.029,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 22:01:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 22:01:33+01:00,0,0.029,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 22:16:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 22:16:33+01:00,0,0.021,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 22:31:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 22:31:33+01:00,0,0.028,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 22:46:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 22:46:33+01:00,0,0.028,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
2021-05-02 23:01:33+01:00,63.143.42.246,https://www.vivc.org,www.vivc.org,2021-05-02 23:01:33+01:00,0,0.018,200,Rondonópolis,Brazil,-16.4778,-54.6332,HEAD,/,HTTP/1.1,UptimeRobot,Other,Spider,,
